# Force coefficients
# liftDir       : (0.000000000e+00 1.000000000e+00 0.000000000e+00)
# dragDir       : (1.000000000e+00 0.000000000e+00 0.000000000e+00)
# pitchAxis     : (0.000000000e+00 0.000000000e+00 1.000000000e+00)
# magUInf       : 1.000000000e+00
# lRef          : 1.000000000e+00
# Aref          : 5.000000000e-01
# CofR          : (0.000000000e+00 0.000000000e+00 0.000000000e+00)
# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
0.04            	-1.258175374e+00	1.592869104e+01	-8.213227512e-03	-1.262281988e+00	1.254068761e+00
0.08            	-3.148667835e-01	8.249012703e+00	6.560943994e-02	-2.820620635e-01	3.476715034e-01
0.12            	4.322029329e-01	4.960252434e+00	1.874683129e-01	5.259370893e-01	-3.384687765e-01
0.16            	1.460234607e+00	2.350193019e+00	4.394001693e-01	1.679934692e+00	-1.240534523e+00
0.2             	2.976411886e+00	-2.807564478e-01	9.095148902e-01	3.431169331e+00	-2.521654441e+00
0.24            	5.246251884e+00	-3.347567706e+00	1.588441070e+00	6.040472419e+00	-4.452031349e+00
0.28            	8.594475339e+00	-7.386497859e+00	2.721105187e+00	9.955027933e+00	-7.233922746e+00
0.32            	1.331613976e+01	-1.251857960e+01	4.501683098e+00	1.556698131e+01	-1.106529821e+01
0.36            	1.945781773e+01	-1.911132173e+01	7.331964126e+00	2.312379979e+01	-1.579183567e+01
0.4             	2.641111055e+01	-2.757127138e+01	1.112556283e+01	3.197389196e+01	-2.084832913e+01
0.44            	3.317492213e+01	-3.735210024e+01	1.513561315e+01	4.074272871e+01	-2.560711556e+01
0.48            	3.883167923e+01	-4.755809469e+01	1.746296462e+01	4.756316154e+01	-3.010019692e+01
0.52            	4.344566431e+01	-5.758597102e+01	1.768322934e+01	5.228727898e+01	-3.460404965e+01
0.56            	4.721713083e+01	-6.642674303e+01	1.630732329e+01	5.537079248e+01	-3.906346919e+01
0.6             	4.992970928e+01	-7.204846265e+01	1.435020475e+01	5.710481166e+01	-4.275460690e+01
0.64            	5.168074232e+01	-7.270952243e+01	1.276118652e+01	5.806133558e+01	-4.530014906e+01
0.68            	5.292858632e+01	-6.724644821e+01	1.112780148e+01	5.849248706e+01	-4.736468558e+01
0.72            	5.375898181e+01	-5.681753947e+01	9.670711800e+00	5.859433771e+01	-4.892362591e+01
0.76            	5.456344919e+01	-4.412332454e+01	8.139740286e+00	5.863331933e+01	-5.049357905e+01
0.8             	5.553399153e+01	-3.214392778e+01	6.937991305e+00	5.900298718e+01	-5.206499588e+01
0.84            	5.676849633e+01	-2.240807044e+01	6.161222717e+00	5.984910768e+01	-5.368788497e+01
