# Forces     
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time       forces(pressure viscous porous)	moments(pressure viscous porous)
0.04         	((3.858745e+00 -3.320863e-02 2.414460e-18) (1.439213e+00 1.026430e-01 -6.910808e-18) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.302157e-03 9.646863e-01 -4.380389e-01) (-2.566075e-02 3.598034e-01 -2.417630e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
0.08         	((1.443958e+00 3.015453e-01 1.358307e-18) (9.420504e-01 7.753578e-02 -3.918626e-18) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.538634e-02 3.609894e-01 -2.108448e-01) (-1.938394e-02 2.355126e-01 1.873532e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
0.12         	((2.402938e-01 6.262525e-01 1.854475e-18) (7.854066e-01 3.691430e-02 -3.317731e-18) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.565631e-01 6.007346e-02 -8.098057e-02) (-9.228575e-03 1.963516e-01 5.152202e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
0.16         	((-9.305501e-01 1.185710e+00 3.749911e-18) (7.222973e-01 -4.117551e-02 -3.323253e-18) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.964274e-01 -2.326375e-01 7.729166e-02) (1.029388e-02 1.805743e-01 9.815081e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
0.2          	((-2.461692e+00 2.180001e+00 7.811785e-18) (7.025703e-01 -1.861425e-01 -3.857609e-18) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.450003e-01 -6.154230e-01 3.085225e-01) (4.653562e-02 1.756426e-01 1.678746e-01) (0.000000e+00 0.000000e+00 0.000000e+00))
0.24         	((-4.686611e+00 3.836930e+00 1.573935e-17) (7.008576e-01 -4.493985e-01 -5.261782e-18) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-9.592326e-01 -1.171653e+00 6.820053e-01) (1.123496e-01 1.752144e-01 2.753045e-01) (0.000000e+00 0.000000e+00 0.000000e+00))
0.28         	((-7.958537e+00 6.761685e+00 2.989683e-17) (6.752442e-01 -9.059383e-01 -7.764710e-18) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.690421e+00 -1.989634e+00 1.309846e+00) (2.264846e-01 1.688110e-01 4.396957e-01) (0.000000e+00 0.000000e+00 0.000000e+00))
0.32         	((-1.236863e+01 1.183369e+01 5.108602e-17) (5.022017e-01 -1.634571e+00 -9.938825e-18) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.958423e+00 -3.092159e+00 2.241181e+00) (4.086427e-01 1.255504e-01 6.667072e-01) (0.000000e+00 0.000000e+00 0.000000e+00))
0.36         	((-1.574941e+01 2.008927e+01 7.050582e-17) (-1.162037e-01 -2.682323e+00 -5.689985e-18) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.022317e+00 -3.937353e+00 2.985775e+00) (6.705806e-01 -2.905092e-02 8.801379e-01) (0.000000e+00 0.000000e+00 0.000000e+00))
0.4          	((-1.166866e+01 3.222130e+01 6.567316e-17) (-1.333282e+00 -4.080840e+00 1.295207e-17) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.055325e+00 -2.917164e+00 2.196293e+00) (1.020210e+00 -3.333205e-01 9.307758e-01) (0.000000e+00 0.000000e+00 0.000000e+00))
0.44         	((-5.823072e+00 2.801624e+01 6.067921e-17) (-2.255354e+00 -5.287677e+00 1.840633e-17) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.004060e+00 -1.455768e+00 2.872046e+00) (1.321919e+00 -5.638386e-01 9.590706e-01) (0.000000e+00 0.000000e+00 0.000000e+00))
