# Forces        
# CofR          : (0.000000000e+00 0.000000000e+00 0.000000000e+00)
# Time          forces(pressure viscous porous)	moments(pressure viscous porous)
0.04            	((3.434208210e+00 -1.163089551e-01 2.093726954e-18) (1.443953421e+00 1.137936542e-01 -6.240097145e-18) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((2.907723878e-02 8.585520525e-01 -3.589008668e-01) (-2.844841355e-02 3.609883553e-01 -2.641534156e-02) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
0.08            	((1.525392087e+00 -8.271036744e-02 1.368647745e-18) (1.000868053e+00 1.028032584e-01 -4.161977508e-18) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((2.067759186e-02 3.813480218e-01 -9.345161447e-02) (-2.570081460e-02 2.502170133e-01 -2.976337966e-03) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
0.12            	((6.353119107e-01 -3.289563151e-02 1.373063568e-18) (8.837653972e-01 9.030780233e-02 -3.512040245e-18) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((8.223907876e-03 1.588279777e-01 1.121458445e-01) (-2.257695058e-02 2.209413493e-01 2.021630372e-02) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
0.16            	((-1.413192170e-01 6.782697035e-02 1.858583348e-18) (8.610658291e-01 6.673933151e-02 -3.182814372e-18) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-1.695674259e-02 -3.532980424e-02 3.889517563e-01) (-1.668483288e-02 2.152664573e-01 5.824509219e-02) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
0.2             	((-9.827651013e-01 2.535124343e-01 2.839152945e-18) (8.967834392e-01 2.502650086e-02 -2.969973701e-18) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-6.337810857e-02 -2.456912753e-01 7.929434135e-01) (-6.256625215e-03 2.241958598e-01 1.185827266e-01) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
0.24            	((-2.012127580e+00 5.309630728e-01 4.458791090e-18) (9.869349699e-01 -4.450299521e-02 -2.820686299e-18) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-1.327407682e-01 -5.030318950e-01 1.395723795e+00) (1.112574880e-02 2.467337425e-01 2.109408446e-01) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
0.28            	((-3.400933218e+00 9.906321031e-01 6.919295925e-18) (1.138818249e+00 -1.572936395e-01 -2.669639940e-18) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-2.476580258e-01 -8.502333046e-01 2.283699506e+00) (3.932340989e-02 2.847045623e-01 3.483585671e-01) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
0.32            	((-5.199454114e+00 1.706943051e+00 1.073303622e-17) (1.365639113e+00 -3.283026026e-01 -2.650512590e-18) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-4.267357628e-01 -1.299863529e+00 3.533644867e+00) (8.207565064e-02 3.414097782e-01 5.444229355e-01) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
0.36            	((-7.528210406e+00 2.807257082e+00 1.663919823e-17) (1.675368127e+00 -5.618430680e-01 -3.071977466e-18) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-7.018142704e-01 -1.882052602e+00 5.156416892e+00) (1.404607670e-01 4.188420317e-01 8.025397880e-01) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
0.4             	((-1.049684205e+01 4.214942217e+00 2.620763791e-17) (2.053140186e+00 -8.077386002e-01 -5.011324499e-18) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-1.053735554e+00 -2.624210512e+00 6.996227355e+00) (2.019346500e-01 5.132850466e-01 1.092175251e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
0.44            	((-1.391193861e+01 5.606927266e+00 4.219317021e-17) (2.472857914e+00 -9.716457393e-01 -1.055545286e-17) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-1.401731817e+00 -3.477984653e+00 8.804275249e+00) (2.429114348e-01 6.182144784e-01 1.355544655e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
0.48            	((-1.747651589e+01 6.328011685e+00 6.744555130e-17) (2.911849390e+00 -9.799787712e-01 -2.189173937e-17) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-1.582002921e+00 -4.369128972e+00 1.034481677e+01) (2.449946928e-01 7.279623475e-01 1.547384997e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
0.52            	((-2.098641204e+01 6.257811775e+00 1.029664909e-16) (3.350708418e+00 -8.423227895e-01 -3.938586236e-17) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-1.564452944e+00 -5.246603011e+00 1.163768912e+01) (2.105806974e-01 8.376771044e-01 1.667545575e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
0.56            	((-2.410022376e+01 5.640023923e+00 1.468541899e-16) (3.757033704e+00 -6.459061661e-01 -6.150221179e-17) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-1.410005981e+00 -6.025055939e+00 1.272029791e+01) (1.614765415e-01 9.392584259e-01 1.739948406e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
0.6             	((-2.613892286e+01 4.853197473e+00 1.930192382e-16) (4.074081173e+00 -4.584472666e-01 -8.416804122e-17) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-1.213299368e+00 -6.534730715e+00 1.350429255e+01) (1.146118167e-01 1.018520293e+00 1.786680920e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
0.64            	((-2.650866420e+01 4.227025770e+00 2.327769045e-16) (4.241372956e+00 -3.189123984e-01 -1.016784900e-16) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-1.056756442e+00 -6.627166050e+00 1.398776584e+01) (7.972809960e-02 1.060343239e+00 1.839461497e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
