# Forces        
# CofR          : (0.000000000e+00 0.000000000e+00 0.000000000e+00)
# Time          forces(pressure viscous porous)	moments(pressure viscous porous)
0.04            	((7.850266083e-01 1.042175568e-04 1.560990078e-19) (7.712670898e-01 3.362201857e-05 -6.708973257e-20) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-2.605438920e-05 1.962566521e-01 4.035487222e-14) (-8.405504643e-06 1.928167725e-01 4.818261960e-06) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
0.08            	((5.470870410e-01 2.563680953e-04 1.224777844e-19) (4.972494322e-01 5.487880310e-06 -5.829940926e-20) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-6.409202382e-05 1.367717602e-01 -3.898582845e-13) (-1.371970077e-06 1.243123580e-01 2.556448268e-06) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
0.12            	((4.341345281e-01 1.557697824e-03 1.065319969e-19) (3.797133131e-01 5.753510894e-05 -5.349239426e-20) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-3.894244561e-04 1.085336320e-01 -4.367480769e-13) (-1.438377724e-05 9.492832828e-02 9.763479225e-07) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
0.16            	((3.706515863e-01 8.354340462e-04 9.672386157e-20) (3.186654641e-01 7.435153568e-05 -5.052452964e-20) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-2.088585115e-04 9.266289659e-02 -1.941686829e-13) (-1.858788392e-05 7.966636602e-02 3.473358722e-07) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
0.2             	((3.337651644e-01 1.603861234e-04 9.031808377e-20) (2.814078286e-01 6.409598591e-05 -4.850098626e-20) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-4.009653085e-05 8.344129109e-02 -5.284856754e-14) (-1.602399648e-05 7.035195714e-02 -7.634935353e-08) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
0.24            	((3.120141504e-01 -1.102814227e-04 8.605574953e-20) (2.558287287e-01 4.765353020e-05 -4.709488475e-20) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((2.757035568e-05 7.800353760e-02 -3.730913148e-14) (-1.191338255e-05 6.395718219e-02 -4.493205889e-07) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
0.28            	((2.989349563e-01 -1.146309939e-04 8.319675361e-20) (2.369025539e-01 2.840687457e-05 -4.597439778e-20) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((2.865774848e-05 7.473373907e-02 -4.239675017e-14) (-7.101718643e-06 5.922563847e-02 -8.209355652e-07) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
0.32            	((2.908806910e-01 -5.153389539e-05 8.116195540e-20) (2.222446141e-01 2.270031753e-05 -4.506284041e-20) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((1.288347385e-05 7.272017275e-02 -6.888500187e-14) (-5.675079383e-06 5.556115353e-02 -1.022643355e-06) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
0.36            	((2.865602017e-01 -2.287051967e-05 7.964601597e-20) (2.104301660e-01 1.770715262e-05 -4.424086969e-20) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((5.717629916e-06 7.164005043e-02 -5.179092832e-14) (-4.426788156e-06 5.260754149e-02 -1.063441145e-06) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
0.4             	((2.841876519e-01 -1.827608606e-04 7.847680586e-20) (2.006009281e-01 1.195708789e-05 -4.353120756e-20) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((4.569021515e-05 7.104691297e-02 1.239123821e-14) (-2.989271973e-06 5.015023202e-02 -1.031675244e-06) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
0.44            	((2.839248966e-01 -1.208751391e-04 7.758906541e-20) (1.923129768e-01 2.802687993e-06 -4.288506233e-20) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((3.021878478e-05 7.098122415e-02 -3.803121013e-14) (-7.006719984e-07 4.807824419e-02 -9.420358406e-07) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
0.48            	((2.843365924e-01 -1.321496527e-04 7.690641760e-20) (1.852377107e-01 -2.857199815e-06 -4.233072123e-20) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((3.303741318e-05 7.108414809e-02 -3.396404252e-14) (7.142999538e-07 4.630942768e-02 -8.937272073e-07) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
0.52            	((2.864524217e-01 7.718314059e-06 7.641240853e-20) (1.791267761e-01 -4.930129837e-06 -4.181901816e-20) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-1.929578515e-06 7.161310541e-02 -8.123688354e-14) (1.232532459e-06 4.478169403e-02 -9.351713887e-07) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
0.56            	((2.886716997e-01 6.730081968e-05 7.607745022e-20) (1.738281902e-01 -2.721013060e-06 -4.139022840e-20) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-1.682520492e-05 7.216792491e-02 -1.077631907e-13) (6.802532651e-07 4.345704755e-02 -1.160007608e-06) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
0.6             	((2.910549060e-01 1.290177293e-04 7.578976837e-20) (1.691557331e-01 1.820498732e-06 -4.099946206e-20) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-3.225443232e-05 7.276372649e-02 -2.320914728e-13) (-4.551246830e-07 4.228893328e-02 -1.618237031e-06) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
0.64            	((2.946378925e-01 2.636364079e-04 7.570765128e-20) (1.650293955e-01 7.988220188e-06 -4.066016041e-20) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-6.590910197e-05 7.365947312e-02 -2.497973616e-13) (-1.997055047e-06 4.125734887e-02 -2.254275153e-06) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
0.68            	((2.980792892e-01 4.053112875e-04 7.563788773e-20) (1.613620655e-01 1.586771437e-05 -4.033502126e-20) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-1.013278219e-04 7.451982231e-02 -3.100193713e-13) (-3.966928593e-06 4.034051638e-02 -3.094775970e-06) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
0.72            	((3.013816000e-01 5.358806280e-04 7.556608358e-20) (1.580738771e-01 2.493493249e-05 -4.006664081e-20) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-1.339701570e-04 7.534539999e-02 -3.801354847e-13) (-6.233733123e-06 3.951846928e-02 -4.160692725e-06) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
0.76            	((3.046006581e-01 5.666757352e-04 7.561029967e-20) (1.551215476e-01 2.878232659e-05 -3.978837416e-20) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-1.416689338e-04 7.615016452e-02 -3.352561284e-13) (-7.195581648e-06 3.878038691e-02 -5.470117138e-06) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
0.8             	((3.077788060e-01 5.373384168e-04 7.554090217e-20) (1.524529096e-01 3.903645794e-05 -3.955369929e-20) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-1.343346042e-04 7.694470151e-02 -4.481812057e-13) (-9.759114486e-06 3.811322741e-02 -7.021385417e-06) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
0.84            	((3.107138494e-01 5.510773467e-04 7.541904078e-20) (1.500265978e-01 4.589585559e-05 -3.932735977e-20) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-1.377693367e-04 7.767846236e-02 -5.169781703e-13) (-1.147396390e-05 3.750664945e-02 -8.703650524e-06) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
0.88            	((3.142084006e-01 7.648396956e-04 7.555148740e-20) (1.478361394e-01 5.689129937e-05 -3.912242236e-20) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-1.912099239e-04 7.855210016e-02 -5.916331878e-13) (-1.422282484e-05 3.695903486e-02 -1.048815539e-05) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
0.92            	((3.169089963e-01 8.547167927e-04 7.552883412e-20) (1.458212175e-01 7.361066110e-05 -3.894145298e-20) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-2.136791982e-04 7.922724908e-02 -6.562477341e-13) (-1.840266528e-05 3.645530438e-02 -1.226961309e-05) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
0.96            	((3.202811008e-01 1.028006795e-03 7.550332999e-20) (1.439871390e-01 9.429630985e-05 -3.878934382e-20) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-2.570016987e-04 8.007027519e-02 -7.020984271e-13) (-2.357407746e-05 3.599678475e-02 -1.398125151e-05) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
1               	((3.229435913e-01 1.173617616e-03 7.545186006e-20) (1.422976405e-01 1.125295022e-04 -3.864674424e-20) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-2.934044041e-04 8.073589782e-02 -7.656091473e-13) (-2.813237556e-05 3.557441014e-02 -1.557672616e-05) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
1.04            	((3.252933131e-01 1.408580680e-03 7.537623818e-20) (1.407355406e-01 1.316992963e-04 -3.846524339e-20) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-3.521451701e-04 8.132332828e-02 -7.909673350e-13) (-3.292482407e-05 3.518388515e-02 -1.695880557e-05) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
1.08            	((3.284916547e-01 1.515364573e-03 7.533885104e-20) (1.393145494e-01 1.527937964e-04 -3.834361093e-20) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-3.788411433e-04 8.212291368e-02 -8.941116077e-13) (-3.819844911e-05 3.482863734e-02 -1.812058261e-05) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
1.12            	((3.306061887e-01 1.378133930e-03 7.514653144e-20) (1.379904473e-01 1.687503264e-04 -3.816361311e-20) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-3.445334826e-04 8.265154718e-02 -8.823376058e-13) (-4.218758159e-05 3.449761183e-02 -1.897639197e-05) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
1.16            	((3.332344788e-01 1.561372403e-03 7.513200304e-20) (1.367655700e-01 1.875036783e-04 -3.799995731e-20) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-3.903431008e-04 8.330861971e-02 -8.519836312e-13) (-4.687591958e-05 3.419139249e-02 -1.953697196e-05) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
1.2             	((3.347767616e-01 1.463214362e-03 7.499005200e-20) (1.356208043e-01 1.979881784e-04 -3.783117630e-20) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-3.658035906e-04 8.369419040e-02 -9.551632488e-13) (-4.949704460e-05 3.390520107e-02 -1.977267910e-05) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
1.24            	((3.365803147e-01 1.465176347e-03 7.487594433e-20) (1.345407630e-01 2.076285758e-04 -3.764639453e-20) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-3.662940866e-04 8.414507868e-02 -9.781943051e-13) (-5.190714394e-05 3.363519074e-02 -1.962512861e-05) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
1.28            	((3.386522390e-01 1.609291514e-03 7.477024559e-20) (1.335424438e-01 2.223012301e-04 -3.744915577e-20) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-4.023228785e-04 8.466305976e-02 -1.041521253e-12) (-5.557530753e-05 3.338561095e-02 -1.909084225e-05) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
1.32            	((3.405904976e-01 1.665516919e-03 7.459839646e-20) (1.326106092e-01 2.305500226e-04 -3.724772005e-20) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-4.163792298e-04 8.514762441e-02 -1.124719892e-12) (-5.763750565e-05 3.315265231e-02 -1.813681326e-05) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
1.36            	((3.425269598e-01 1.864979680e-03 7.448916595e-20) (1.317613328e-01 2.445884811e-04 -3.702888840e-20) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-4.662449199e-04 8.563173995e-02 -1.107911289e-12) (-6.114712028e-05 3.294033319e-02 -1.673431764e-05) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
1.4             	((3.439920227e-01 2.028219880e-03 7.430225025e-20) (1.309541030e-01 2.586964532e-04 -3.682411242e-20) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-5.070549699e-04 8.599800567e-02 -1.279536156e-12) (-6.467411331e-05 3.273852575e-02 -1.492767280e-05) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
1.44            	((3.451414504e-01 1.897795467e-03 7.421673233e-20) (1.301850545e-01 2.653834723e-04 -3.655869612e-20) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-4.744488667e-04 8.628536259e-02 -1.214285183e-12) (-6.634586808e-05 3.254626362e-02 -1.268743257e-05) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
1.48            	((3.455963985e-01 1.997865861e-03 7.422288538e-20) (1.294563306e-01 2.731081941e-04 -3.628331542e-20) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-4.994664652e-04 8.639909963e-02 -1.120373325e-12) (-6.827704852e-05 3.236408265e-02 -9.993574063e-06) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
1.52            	((3.463327835e-01 2.184623853e-03 7.405824386e-20) (1.287378766e-01 2.793996621e-04 -3.600875187e-20) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-5.461559632e-04 8.658319586e-02 -1.228836911e-12) (-6.984991552e-05 3.218446916e-02 -6.916864277e-06) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
1.56            	((3.473769634e-01 1.957143248e-03 7.391581322e-20) (1.280791699e-01 2.808269542e-04 -3.575589087e-20) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-4.892858120e-04 8.684424084e-02 -1.272099613e-12) (-7.020673856e-05 3.201979247e-02 -3.478901533e-06) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
1.6             	((3.482227849e-01 2.080104941e-03 7.384444062e-20) (1.274550870e-01 2.835365005e-04 -3.550316657e-20) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-5.200262352e-04 8.705569622e-02 -1.206117671e-12) (-7.088412512e-05 3.186377176e-02 1.943261289e-07) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
1.64            	((3.487863282e-01 2.086308225e-03 7.380300360e-20) (1.268609837e-01 2.880129389e-04 -3.522104898e-20) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-5.215770562e-04 8.719658204e-02 -1.093745537e-12) (-7.200323472e-05 3.171524594e-02 3.864805425e-06) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
