# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
0,04	-3,80E-04	3,05E+01	2,41E-02	1,17E-02	1,24E-02
0,08	-5,68E-05	2,44E+01	6,52E-02	3,25E-02	3,27E-02
0,12	-2,19E-04	2,09E+01	3,09E-02	1,52E-02	1,57E-02
0,16	-6,89E-04	1,88E+01	8,46E-03	3,54E-03	4,92E-03
0,2	-1,18E-03	1,74E+01	5,10E-04	-9,21E-04	1,43E-03
0,24	-1,58E-03	1,63E+01	-1,73E-03	-2,45E-03	7,15E-04
0,28	-1,92E-03	1,55E+01	-2,37E-03	-3,11E-03	7,35E-04
0,32	-2,21E-03	1,48E+01	-3,19E-03	-3,81E-03	6,16E-04
0,36	-2,44E-03	1,43E+01	-2,93E-03	-3,90E-03	9,74E-04
0,4	-2,60E-03	1,38E+01	-3,55E-03	-4,38E-03	8,27E-04
0,44	-2,71E-03	1,34E+01	-4,43E-03	-4,93E-03	4,93E-04
0,48	-2,77E-03	1,31E+01	-5,99E-03	-5,77E-03	-2,22E-04
0,52	-2,80E-03	1,28E+01	-6,22E-03	-5,91E-03	-3,12E-04
0,56	-2,81E-03	1,25E+01	-6,38E-03	-6,00E-03	-3,86E-04
0,6	-2,79E-03	1,22E+01	-5,31E-03	-5,45E-03	1,40E-04
0,64	-2,77E-03	1,20E+01	-6,05E-03	-5,79E-03	-2,55E-04
0,68	-2,73E-03	1,18E+01	-6,88E-03	-6,17E-03	-7,08E-04
0,72	-2,68E-03	1,17E+01	-7,15E-03	-6,26E-03	-8,95E-04
0,76	-2,62E-03	1,15E+01	-7,64E-03	-6,44E-03	-1,20E-03
0,8	-2,56E-03	1,13E+01	-8,19E-03	-6,65E-03	-1,53E-03
0,84	-2,50E-03	1,12E+01	-8,61E-03	-6,80E-03	-1,81E-03
0,88	-2,43E-03	1,11E+01	-9,10E-03	-6,98E-03	-2,12E-03
0,92	-2,36E-03	1,10E+01	-9,36E-03	-7,05E-03	-2,32E-03
0,96	-2,30E-03	1,08E+01	-9,83E-03	-7,21E-03	-2,62E-03
1	-2,24E-03	1,07E+01	-1,02E-02	-7,32E-03	-2,84E-03
1,04	-2,19E-03	1,06E+01	-1,04E-02	-7,41E-03	-3,03E-03
1,08	-2,15E-03	1,05E+01	-1,08E-02	-7,52E-03	-3,23E-03
1,12	-2,10E-03	1,05E+01	-1,11E-02	-7,65E-03	-3,45E-03
1,16	-2,06E-03	1,04E+01	-1,11E-02	-7,62E-03	-3,50E-03
1,2	-2,02E-03	1,03E+01	-1,12E-02	-7,65E-03	-3,60E-03
1,24	-1,98E-03	1,02E+01	-1,17E-02	-7,84E-03	-3,87E-03
1,28	-1,95E-03	1,01E+01	-1,24E-02	-8,16E-03	-4,27E-03
1,32	-1,91E-03	1,01E+01	-1,27E-02	-8,26E-03	-4,44E-03
1,36	-1,88E-03	1,00E+01	-1,26E-02	-8,18E-03	-4,42E-03
1,4	-1,84E-03	9,95E+00	-1,27E-02	-8,20E-03	-4,51E-03
1,44	-1,81E-03	9,90E+00	-1,29E-02	-8,25E-03	-4,62E-03
1,48	-1,78E-03	9,84E+00	-1,29E-02	-8,25E-03	-4,68E-03
1,52	-1,76E-03	9,79E+00	-1,31E-02	-8,29E-03	-4,77E-03
1,56	-1,73E-03	9,73E+00	-1,32E-02	-8,30E-03	-4,85E-03
1,6	-1,70E-03	9,68E+00	-1,34E-02	-8,41E-03	-5,01E-03
1,64	-1,68E-03	9,64E+00	-1,36E-02	-8,48E-03	-5,12E-03
1,68	-1,66E-03	9,59E+00	-1,28E-02	-8,06E-03	-4,75E-03
1,72	-1,63E-03	9,55E+00	-1,29E-02	-8,06E-03	-4,79E-03
1,76	-1,61E-03	9,51E+00	-1,28E-02	-8,00E-03	-4,77E-03
1,8	-1,59E-03	9,46E+00	-1,28E-02	-7,97E-03	-4,78E-03
1,84	-1,57E-03	9,42E+00	-1,27E-02	-7,93E-03	-4,78E-03
1,88	-1,55E-03	9,39E+00	-1,27E-02	-7,88E-03	-4,77E-03
1,92	-1,54E-03	9,35E+00	-1,27E-02	-7,90E-03	-4,82E-03
1,96	-1,52E-03	9,31E+00	-1,27E-02	-7,89E-03	-4,85E-03
2	-1,50E-03	9,28E+00	-1,30E-02	-7,99E-03	-4,98E-03
2,04	-1,49E-03	9,25E+00	-1,27E-02	-7,83E-03	-4,85E-03
2,08	-1,47E-03	9,21E+00	-1,27E-02	-7,83E-03	-4,88E-03
2,12	-1,46E-03	9,18E+00	-1,27E-02	-7,80E-03	-4,88E-03
2,16	-1,45E-03	9,15E+00	-1,27E-02	-7,78E-03	-4,89E-03
2,2	-1,43E-03	9,12E+00	-1,26E-02	-7,76E-03	-4,89E-03
2,24	-1,42E-03	9,09E+00	-1,26E-02	-7,73E-03	-4,89E-03
2,28	-1,41E-03	9,07E+00	-1,26E-02	-7,70E-03	-4,88E-03
2,32	-1,40E-03	9,04E+00	-1,25E-02	-7,67E-03	-4,87E-03
2,36	-1,39E-03	9,01E+00	-1,25E-02	-7,63E-03	-4,85E-03
2,4	-1,39E-03	8,98E+00	-1,22E-02	-7,46E-03	-4,69E-03
2,44	-1,38E-03	8,96E+00	-1,20E-02	-7,39E-03	-4,63E-03
2,48	-1,37E-03	8,93E+00	-1,20E-02	-7,36E-03	-4,61E-03
2,52	-1,37E-03	8,91E+00	-1,20E-02	-7,34E-03	-4,61E-03
2,56	-1,36E-03	8,89E+00	-1,19E-02	-7,32E-03	-4,60E-03
2,6	-1,36E-03	8,87E+00	-1,23E-02	-7,53E-03	-4,82E-03
2,64	-1,35E-03	8,85E+00	-1,25E-02	-7,62E-03	-4,91E-03
2,68	-1,35E-03	8,84E+00	-1,24E-02	-7,55E-03	-4,85E-03
2,72	-1,34E-03	8,82E+00	-1,24E-02	-7,53E-03	-4,84E-03
2,76	-1,34E-03	8,80E+00	-1,24E-02	-7,51E-03	-4,84E-03
2,8	-1,33E-03	8,78E+00	-1,23E-02	-7,50E-03	-4,83E-03
2,84	-1,33E-03	8,77E+00	-1,22E-02	-7,45E-03	-4,79E-03
2,88	-1,32E-03	8,75E+00	-1,22E-02	-7,43E-03	-4,78E-03
2,92	-1,32E-03	8,73E+00	-1,21E-02	-7,40E-03	-4,75E-03
2,96	-1,32E-03	8,72E+00	-1,21E-02	-7,37E-03	-4,74E-03
3	-1,31E-03	8,70E+00	-1,21E-02	-7,36E-03	-4,73E-03
3,04	-1,31E-03	8,69E+00	-1,21E-02	-7,36E-03	-4,74E-03
3,08	-1,30E-03	8,67E+00	-1,19E-02	-7,25E-03	-4,65E-03
3,12	-1,30E-03	8,66E+00	-1,19E-02	-7,24E-03	-4,65E-03
3,16	-1,29E-03	8,64E+00	-1,19E-02	-7,22E-03	-4,63E-03
3,2	-1,29E-03	8,63E+00	-1,18E-02	-7,20E-03	-4,62E-03
3,24	-1,28E-03	8,61E+00	-1,17E-02	-7,14E-03	-4,58E-03
3,28	-1,28E-03	8,60E+00	-1,17E-02	-7,11E-03	-4,56E-03
3,32	-1,27E-03	8,59E+00	-1,16E-02	-7,08E-03	-4,54E-03
3,36	-1,27E-03	8,57E+00	-1,16E-02	-7,06E-03	-4,52E-03
3,4	-1,26E-03	8,56E+00	-1,15E-02	-7,03E-03	-4,51E-03
3,44	-1,26E-03	8,54E+00	-1,15E-02	-7,00E-03	-4,49E-03
3,48	-1,25E-03	8,53E+00	-1,15E-02	-6,98E-03	-4,48E-03
3,52	-1,25E-03	8,51E+00	-1,14E-02	-6,96E-03	-4,47E-03
3,56	-1,24E-03	8,50E+00	-1,14E-02	-6,94E-03	-4,46E-03
3,6	-1,24E-03	8,49E+00	-1,14E-02	-6,92E-03	-4,44E-03
3,64	-1,23E-03	8,48E+00	-1,13E-02	-6,89E-03	-4,43E-03
3,68	-1,23E-03	8,46E+00	-1,13E-02	-6,87E-03	-4,42E-03
3,72	-1,22E-03	8,45E+00	-1,13E-02	-6,85E-03	-4,41E-03
3,76	-1,22E-03	8,44E+00	-1,12E-02	-6,82E-03	-4,39E-03
3,8	-1,21E-03	8,43E+00	-1,12E-02	-6,80E-03	-4,38E-03
3,84	-1,20E-03	8,42E+00	-1,12E-02	-6,80E-03	-4,39E-03
3,88	-1,20E-03	8,40E+00	-1,11E-02	-6,76E-03	-4,36E-03
3,92	-1,19E-03	8,39E+00	-1,11E-02	-6,75E-03	-4,36E-03
3,96	-1,19E-03	8,38E+00	-1,11E-02	-6,73E-03	-4,36E-03
