# Time          	Cd              	Cl              	Cl(f)           	Cl(r)           
0,04	1,04E+01	-1,55E-03	-7,71E-04	-7,74E-04
0,08	6,79E+00	-2,75E-03	-1,38E-03	-1,37E-03
0,12	5,53E+00	-1,21E-03	-6,04E-04	-6,05E-04
0,16	4,85E+00	-3,11E-04	-1,53E-04	-1,58E-04
0,2	4,41E+00	-2,70E-04	-1,76E-04	-9,35E-05
0,24	4,11E+00	-2,96E-04	-1,93E-04	-1,02E-04
0,28	3,88E+00	-4,14E-04	-2,50E-04	-1,64E-04
0,32	3,70E+00	-6,85E-04	-3,84E-04	-3,01E-04
0,36	3,56E+00	1,21E-05	-3,62E-05	4,82E-05
0,4	3,44E+00	-4,57E-04	-2,74E-04	-1,83E-04
0,44	3,35E+00	-3,85E-04	-2,45E-04	-1,40E-04
0,48	3,27E+00	-4,32E-04	-2,77E-04	-1,55E-04
0,52	3,20E+00	2,64E-04	6,06E-05	2,03E-04
0,56	3,14E+00	3,33E-04	8,43E-05	2,49E-04
0,6	3,09E+00	4,86E-04	1,49E-04	3,37E-04
0,64	3,05E+00	7,00E-04	2,44E-04	4,56E-04
0,68	3,01E+00	1,27E-03	5,16E-04	7,51E-04
0,72	2,97E+00	1,37E-03	5,59E-04	8,16E-04
0,76	2,94E+00	1,38E-03	5,50E-04	8,27E-04
0,8	2,91E+00	1,23E-03	4,66E-04	7,60E-04
0,84	2,89E+00	2,54E-03	1,11E-03	1,42E-03
0,88	2,87E+00	2,56E-03	1,12E-03	1,44E-03
0,92	2,85E+00	2,74E-03	1,21E-03	1,54E-03
0,96	2,83E+00	3,04E-03	1,35E-03	1,69E-03
1	2,81E+00	2,88E-03	1,27E-03	1,61E-03
1,04	2,79E+00	3,00E-03	1,33E-03	1,67E-03
1,08	2,78E+00	3,08E-03	1,37E-03	1,71E-03
1,12	2,76E+00	3,19E-03	1,43E-03	1,77E-03
1,16	2,75E+00	3,29E-03	1,48E-03	1,81E-03
1,2	2,73E+00	3,25E-03	1,46E-03	1,79E-03
1,24	2,72E+00	3,40E-03	1,54E-03	1,87E-03
1,28	2,71E+00	3,46E-03	1,57E-03	1,89E-03
1,32	2,70E+00	3,48E-03	1,58E-03	1,90E-03
1,36	2,69E+00	3,48E-03	1,58E-03	1,89E-03
1,4	2,68E+00	3,35E-03	1,52E-03	1,83E-03
1,44	2,67E+00	3,53E-03	1,62E-03	1,92E-03
1,48	2,66E+00	3,74E-03	1,72E-03	2,02E-03
1,52	2,65E+00	3,71E-03	1,71E-03	2,00E-03
1,56	2,64E+00	3,80E-03	1,76E-03	2,04E-03
1,6	2,63E+00	3,71E-03	1,71E-03	1,99E-03
1,64	2,62E+00	3,76E-03	1,74E-03	2,02E-03
1,68	2,62E+00	3,93E-03	1,83E-03	2,10E-03
1,72	2,61E+00	3,88E-03	1,81E-03	2,07E-03
1,76	2,60E+00	3,88E-03	1,81E-03	2,06E-03
1,8	2,59E+00	3,80E-03	1,78E-03	2,02E-03
1,84	2,59E+00	3,79E-03	1,78E-03	2,02E-03
1,88	2,58E+00	3,55E-03	1,66E-03	1,89E-03
1,92	2,57E+00	3,53E-03	1,66E-03	1,88E-03
1,96	2,57E+00	3,51E-03	1,65E-03	1,86E-03
2	2,56E+00	3,47E-03	1,63E-03	1,84E-03
2,04	2,55E+00	3,45E-03	1,62E-03	1,83E-03
2,08	2,55E+00	3,49E-03	1,65E-03	1,84E-03
2,12	2,54E+00	3,57E-03	1,69E-03	1,88E-03
2,16	2,53E+00	3,46E-03	1,64E-03	1,82E-03
2,2	2,53E+00	3,55E-03	1,69E-03	1,86E-03
2,24	2,52E+00	3,52E-03	1,68E-03	1,84E-03
2,28	2,52E+00	3,44E-03	1,64E-03	1,80E-03
2,32	2,51E+00	3,39E-03	1,62E-03	1,77E-03
2,36	2,51E+00	3,37E-03	1,62E-03	1,76E-03
2,4	2,50E+00	3,35E-03	1,61E-03	1,74E-03
2,44	2,50E+00	3,29E-03	1,58E-03	1,71E-03
2,48	2,49E+00	3,19E-03	1,54E-03	1,66E-03
2,52	2,49E+00	3,15E-03	1,52E-03	1,63E-03
2,56	2,48E+00	3,19E-03	1,54E-03	1,65E-03
2,6	2,48E+00	3,12E-03	1,51E-03	1,61E-03
2,64	2,47E+00	3,11E-03	1,51E-03	1,60E-03
2,68	2,47E+00	3,05E-03	1,48E-03	1,57E-03
2,72	2,46E+00	3,04E-03	1,48E-03	1,56E-03
2,76	2,46E+00	3,00E-03	1,46E-03	1,54E-03
2,8	2,46E+00	2,99E-03	1,46E-03	1,53E-03
2,84	2,45E+00	2,96E-03	1,45E-03	1,51E-03
2,88	2,45E+00	2,93E-03	1,43E-03	1,50E-03
2,92	2,44E+00	2,92E-03	1,43E-03	1,49E-03
2,96	2,44E+00	2,92E-03	1,43E-03	1,48E-03
3	2,44E+00	2,92E-03	1,43E-03	1,49E-03
3,04	2,43E+00	2,86E-03	1,40E-03	1,45E-03
3,08	2,43E+00	2,94E-03	1,45E-03	1,49E-03
3,12	2,42E+00	2,99E-03	1,47E-03	1,52E-03
3,16	2,42E+00	2,94E-03	1,45E-03	1,49E-03
3,2	2,42E+00	2,91E-03	1,43E-03	1,47E-03
3,24	2,41E+00	2,94E-03	1,45E-03	1,49E-03
3,28	2,41E+00	2,95E-03	1,45E-03	1,49E-03
3,32	2,41E+00	3,04E-03	1,50E-03	1,54E-03
3,36	2,40E+00	3,08E-03	1,52E-03	1,56E-03
3,4	2,40E+00	3,11E-03	1,53E-03	1,58E-03
3,44	2,40E+00	3,15E-03	1,55E-03	1,60E-03
3,48	2,39E+00	3,13E-03	1,54E-03	1,59E-03
3,52	2,39E+00	3,20E-03	1,58E-03	1,63E-03
3,56	2,39E+00	3,24E-03	1,59E-03	1,64E-03
3,6	2,39E+00	3,27E-03	1,61E-03	1,66E-03
3,64	2,38E+00	3,30E-03	1,62E-03	1,68E-03
3,68	2,38E+00	3,35E-03	1,65E-03	1,71E-03
3,72	2,38E+00	3,40E-03	1,67E-03	1,73E-03
3,76	2,37E+00	3,44E-03	1,69E-03	1,75E-03
3,8	2,37E+00	3,47E-03	1,70E-03	1,77E-03
3,84	2,37E+00	3,51E-03	1,72E-03	1,79E-03
3,88	2,37E+00	3,52E-03	1,72E-03	1,80E-03
3,92	2,36E+00	3,57E-03	1,75E-03	1,82E-03
3,96	2,36E+00	3,61E-03	1,77E-03	1,85E-03
4	2,36E+00	3,64E-03	1,78E-03	1,86E-03
4,04	2,36E+00	3,67E-03	1,79E-03	1,88E-03
4,08	2,35E+00	3,69E-03	1,80E-03	1,89E-03
4,12	2,35E+00	3,71E-03	1,81E-03	1,90E-03
4,16	2,35E+00	3,72E-03	1,81E-03	1,91E-03
4,2	2,35E+00	3,74E-03	1,82E-03	1,92E-03
4,24	2,34E+00	3,76E-03	1,83E-03	1,93E-03
4,28	2,34E+00	3,77E-03	1,83E-03	1,94E-03
4,32	2,34E+00	3,78E-03	1,83E-03	1,94E-03
4,36	2,34E+00	3,77E-03	1,83E-03	1,94E-03
4,4	2,33E+00	3,79E-03	1,84E-03	1,95E-03
4,44	2,33E+00	3,79E-03	1,84E-03	1,95E-03
4,48	2,33E+00	3,79E-03	1,84E-03	1,95E-03
4,52	2,33E+00	3,79E-03	1,83E-03	1,95E-03
4,56	2,33E+00	3,78E-03	1,83E-03	1,95E-03
4,6	2,32E+00	3,76E-03	1,82E-03	1,94E-03
4,64	2,32E+00	3,75E-03	1,81E-03	1,93E-03
4,68	2,32E+00	3,73E-03	1,80E-03	1,93E-03
4,72	2,32E+00	3,71E-03	1,79E-03	1,92E-03
4,76	2,32E+00	3,69E-03	1,78E-03	1,91E-03
4,8	2,31E+00	3,67E-03	1,77E-03	1,90E-03
4,84	2,31E+00	3,65E-03	1,76E-03	1,89E-03
4,88	2,31E+00	3,62E-03	1,75E-03	1,88E-03
4,92	2,31E+00	3,60E-03	1,73E-03	1,86E-03
4,96	2,31E+00	3,57E-03	1,72E-03	1,85E-03
5	2,30E+00	3,53E-03	1,70E-03	1,83E-03
5,04	2,30E+00	3,50E-03	1,69E-03	1,82E-03
5,08	2,30E+00	3,47E-03	1,67E-03	1,80E-03
5,12	2,30E+00	3,43E-03	1,65E-03	1,78E-03
5,16	2,30E+00	3,36E-03	1,61E-03	1,75E-03
5,2	2,30E+00	3,42E-03	1,64E-03	1,78E-03
5,24	2,29E+00	3,38E-03	1,63E-03	1,76E-03
5,28	2,29E+00	3,35E-03	1,61E-03	1,74E-03
5,32	2,29E+00	3,32E-03	1,60E-03	1,73E-03
5,36	2,29E+00	3,29E-03	1,58E-03	1,71E-03
5,4	2,29E+00	3,23E-03	1,55E-03	1,68E-03
5,44	2,29E+00	3,22E-03	1,54E-03	1,68E-03
5,48	2,28E+00	3,17E-03	1,52E-03	1,65E-03
5,52	2,28E+00	3,14E-03	1,50E-03	1,64E-03
5,56	2,28E+00	3,10E-03	1,48E-03	1,62E-03
5,6	2,28E+00	3,07E-03	1,47E-03	1,60E-03
5,64	2,28E+00	3,03E-03	1,45E-03	1,59E-03
5,68	2,28E+00	3,00E-03	1,43E-03	1,57E-03
5,72	2,28E+00	2,96E-03	1,41E-03	1,55E-03
5,76	2,27E+00	2,92E-03	1,39E-03	1,53E-03
5,8	2,27E+00	2,99E-03	1,43E-03	1,57E-03
5,84	2,27E+00	2,97E-03	1,42E-03	1,56E-03
5,88	2,27E+00	2,95E-03	1,41E-03	1,55E-03
5,92	2,27E+00	2,93E-03	1,40E-03	1,54E-03
5,96	2,27E+00	2,91E-03	1,38E-03	1,53E-03
6	2,27E+00	2,89E-03	1,37E-03	1,52E-03
6,04	2,26E+00	3,04E-03	1,44E-03	1,59E-03
6,08	2,26E+00	3,01E-03	1,43E-03	1,58E-03
6,12	2,26E+00	2,98E-03	1,41E-03	1,57E-03
6,16	2,26E+00	2,96E-03	1,40E-03	1,55E-03
6,2	2,26E+00	2,94E-03	1,39E-03	1,54E-03
6,24	2,26E+00	2,92E-03	1,38E-03	1,54E-03
6,28	2,26E+00	2,90E-03	1,37E-03	1,53E-03
6,32	2,26E+00	2,90E-03	1,37E-03	1,53E-03
6,36	2,25E+00	2,89E-03	1,37E-03	1,52E-03
6,4	2,25E+00	2,88E-03	1,36E-03	1,52E-03
6,44	2,25E+00	2,88E-03	1,36E-03	1,52E-03
6,48	2,25E+00	2,87E-03	1,35E-03	1,52E-03
6,52	2,25E+00	2,87E-03	1,35E-03	1,52E-03
6,56	2,25E+00	2,86E-03	1,35E-03	1,52E-03
6,6	2,25E+00	2,86E-03	1,35E-03	1,52E-03
6,64	2,25E+00	2,86E-03	1,34E-03	1,51E-03
6,68	2,25E+00	2,85E-03	1,34E-03	1,51E-03
6,72	2,24E+00	2,85E-03	1,34E-03	1,51E-03
6,76	2,24E+00	2,85E-03	1,34E-03	1,52E-03
6,8	2,24E+00	2,85E-03	1,34E-03	1,52E-03
6,84	2,24E+00	2,86E-03	1,34E-03	1,52E-03
6,88	2,24E+00	2,86E-03	1,34E-03	1,53E-03
6,92	2,24E+00	2,87E-03	1,34E-03	1,53E-03
6,96	2,24E+00	2,88E-03	1,34E-03	1,53E-03
7	2,24E+00	2,89E-03	1,35E-03	1,54E-03
7,04	2,24E+00	2,90E-03	1,35E-03	1,55E-03
7,08	2,23E+00	2,90E-03	1,35E-03	1,55E-03
7,12	2,23E+00	2,91E-03	1,36E-03	1,56E-03
7,16	2,23E+00	2,92E-03	1,36E-03	1,56E-03
7,2	2,23E+00	2,94E-03	1,37E-03	1,57E-03
7,24	2,23E+00	2,95E-03	1,37E-03	1,58E-03
7,28	2,23E+00	2,96E-03	1,37E-03	1,58E-03
7,32	2,23E+00	2,97E-03	1,38E-03	1,59E-03
7,36	2,23E+00	2,98E-03	1,38E-03	1,60E-03
7,4	2,23E+00	3,00E-03	1,39E-03	1,61E-03
7,44	2,23E+00	3,01E-03	1,40E-03	1,62E-03
7,48	2,23E+00	3,03E-03	1,40E-03	1,62E-03
7,52	2,22E+00	3,04E-03	1,41E-03	1,63E-03
7,56	2,22E+00	3,06E-03	1,42E-03	1,64E-03
7,6	2,22E+00	3,07E-03	1,42E-03	1,65E-03
7,64	2,22E+00	3,09E-03	1,43E-03	1,66E-03
7,68	2,22E+00	3,11E-03	1,44E-03	1,67E-03
7,72	2,22E+00	3,12E-03	1,44E-03	1,68E-03
7,76	2,22E+00	3,14E-03	1,45E-03	1,69E-03
7,8	2,22E+00	3,16E-03	1,46E-03	1,70E-03
7,84	2,22E+00	3,17E-03	1,46E-03	1,71E-03
7,88	2,22E+00	3,19E-03	1,47E-03	1,72E-03
7,92	2,22E+00	3,21E-03	1,48E-03	1,73E-03
7,96	2,22E+00	3,23E-03	1,49E-03	1,74E-03
8	2,21E+00	3,24E-03	1,50E-03	1,75E-03
8,04	2,21E+00	3,26E-03	1,50E-03	1,76E-03
8,08	2,21E+00	3,28E-03	1,51E-03	1,77E-03
8,12	2,21E+00	3,29E-03	1,52E-03	1,78E-03
8,16	2,21E+00	3,31E-03	1,52E-03	1,78E-03
8,2	2,21E+00	3,32E-03	1,53E-03	1,79E-03
8,24	2,21E+00	3,34E-03	1,54E-03	1,80E-03
8,28	2,21E+00	3,35E-03	1,54E-03	1,81E-03
8,32	2,21E+00	3,36E-03	1,55E-03	1,82E-03
